date,user_count,vault_count,sum_messages,sum_collateral,sum_loan,avg_ratio
2021-12-05,104,141,3,29846986.272235,6075011.1955006,928819.29
2021-12-06,291,376,769,50451605.694484,13965115.882658,3766.88
2021-12-07,577,750,827,83248125.642785,24095681.770193,4832.56
2021-12-08,642,858,1280,93012778.476749,26260148.761802,1913.58
2021-12-09,679,911,1923,94554953.271483,28461922.541483,1885.27
2021-12-10,717,958,2274,96102572.618891,30348838.512216,1747.65
2021-12-11,752,1029,2592,102493076.99826,32708532.533979,1633.9
2021-12-12,810,1103,2412,98649336.192744,32331306.377049,1546.77
2021-12-13,872,1195,2256,87594354.47371,30823403.817961,289285.53
2021-12-14,906,1260,3549,87594354.47371,26636914.546218,261800.0
2021-12-15,961,1332,3770,102327597.26566,35389321.98447,261822.08
2021-12-16,1000,1375,3861,101962265.93213,36375904.824415,252521.95
2021-12-17,1007,1244,4995,94400352.735012,35337754.359447,261697.01
2021-12-18,1018,1164,4214,94906779.240577,35807878.44209,328.97
2021-12-19,1050,1193,4692,95142982.850032,36779750.934692,315.81
2021-12-20,1085,1228,5380,97113168.469999,37607842.319382,316.06
2021-12-21,1124,1270,4047,103901760.19643,39652920.882498,133033.58
2021-12-22,1140,1285,3850,103489880.01151,40733387.374461,290.3
2021-12-23,1166,1319,5220,103441150.17577,40928305.66306,287.94
2021-12-24,1175,1333,4999,103104903.94152,41266253.714399,284.65
2021-12-25,1186,1340,3633,103732460.27656,41566781.868441,286.53
2021-12-26,1170,1260,4694,104404949.23803,41865544.668337,286.69
2021-12-27,1182,1359,5199,105506916.77606,42344145.958206,289.46
2021-12-28,1185,1364,4677,103358674.94589,42961810.908776,279.59
2021-12-29,1197,1371,4986,103620780.7614,43116149.348201,280.26
2021-12-30,1204,1378,4838,103271576.39224,43396677.802107,275.05
2021-12-31,1210,1386,4984,102439379.36252,43870538.396277,268.87
2022-01-01,1225,1397,5294,109434428.87605,44995648.35062,282.47
2022-01-02,1227,1411,2537,109250146.72738,43820224.065426,283.99
2022-01-03,1233,1406,3453,108776735.61622,44338792.976188,282.6
2022-01-04,1251,1422,3814,108311705.6665,44078932.647715,287.87
2022-01-05,1266,1419,4481,101919068.18684,41975116.560597,288.83
2022-01-06,1291,1434,7150,97622318.153304,41635848.418441,273.27
2022-01-07,1310,1431,8208,88802705.530798,38776518.912665,264.98
2022-01-08,1324,1441,6652,88328264.613372,38392679.062059,264.78
2022-01-09,1323,1444,5580,92043436.1034,39427065.814203,272.09
2022-01-10,1328,1451,6303,92901134.143586,40134771.099476,277.81
2022-01-11,1334,1456,5273,97790973.74575,42102548.425969,277.73
2022-01-12,1390,1512,5929,105381674.59438,44991815.283031,276.45
2022-01-13,1437,1560,5271,108738063.57312,46822609.45461,273.43
2022-01-14,1456,1574,5162,112029585.5685,47835539.203264,275.55
2022-01-15,1474,1589,4411,115196665.38316,49532047.268074,274.83
2022-01-16,1476,1602,7485,118610464.80997,51029924.627371,277.63
2022-01-17,1489,1607,11027,115047276.42038,50778234.237284,272.58
2022-01-18,1502,1617,11746,117544115.25112,51893521.875076,268.77
2022-01-19,1536,1640,10351,117612513.65735,52478478.830296,265.52
2022-01-20,1567,1665,10566,117253129.57057,52704630.674886,263.68
2022-01-21,1601,1683,18730,104604711.73575,48761278.793019,256.52
2022-01-22,1645,1690,21996,103037223.82465,49242800.100769,255.66
2022-01-23,1659,1737,17432,103752070.59702,48840665.672022,252.74
2022-01-24,1680,1746,19659,104546880.05102,48382697.088184,259.5
2022-01-25,1689,1750,14474,106703690.12473,49693783.77932,258.82
2022-01-26,1702,1766,13272,109429931.6975,51112934.589455,260.0
2022-01-27,1708,1769,14469,108586131.2185,51255328.836484,257.36
2022-01-28,1715,1777,12811,112324208.14317,52162080.077963,269.4
2022-01-29,1718,1781,11440,110557376.94106,51331464.100231,273.28
2022-01-30,1727,1796,11619,110061601.9058,52036868.328504,265.74
2022-01-31,1737,1806,13251,115269676.86649,54461345.389758,264.5
2022-02-01,1746,1810,12676,116607356.57646,54989437.219439,264.46
2022-02-02,1747,1813,12917,114622665.66794,54843619.055053,259.3
2022-02-03,1753,1818,14501,113699367.51187,54778975.912468,256.02
2022-02-04,1762,1826,11777,122217760.54703,56393319.745973,270.1
2022-02-05,1777,1837,9181,126064332.23025,57951123.296114,273.48
2022-02-06,1786,1883,8951,141412870.23002,62200717.470948,286.69
2022-02-07,1812,1873,12418,136852834.59355,62429336.560739,286.91
2022-02-08,1836,1870,9498,131010260.11171,61458179.385176,287.3
2022-02-09,1860,1895,9215,137000617.76078,64402050.899078,287.78
2022-02-10,1883,1925,9291,135249132.72436,63899692.566966,284.02
2022-02-11,1908,1939,8415,131556214.93899,63513846.896087,285.48
2022-02-12,1919,1949,6868,130552479.78074,63404619.537243,283.83
2022-02-13,1928,1945,5386,127025506.6639,62444385.564611,281.64
2022-02-14,1937,1933,7696,125190104.95248,61766115.926331,282.48
2022-02-15,1945,1940,6598,131102203.41629,64677034.322807,279.97
2022-02-16,1965,1965,6390,133370086.59522,65117679.238099,283.43
2022-02-17,1983,1976,7618,125640243.95236,62547832.783126,275.43
2022-02-18,1989,1981,8143,124873898.08485,62226147.866465,275.47
2022-02-19,2003,2005,8384,128616936.69547,64402773.95525,273.81
2022-02-20,2011,2013,9128,124406901.44882,63011790.212049,271.17
2022-02-21,2020,2029,9280,118902059.41615,59982119.961435,265.77
2022-02-22,2031,2031,9588,122508460.32117,61639434.522479,269.3
2022-02-23,2046,2042,8450,121716872.426,62004929.299081,267.0
2022-02-24,2055,2051,10370,122484237.46783,60661508.564377,277.05
2022-02-25,2061,2054,7819,124289518.36689,62938256.620549,280.57
2022-02-26,2063,2056,7690,124384342.33429,63063794.681367,273.23
2022-02-27,2075,2069,8712,119598849.89177,61404935.843447,269.05
2022-02-28,2086,2081,8107,131665224.61368,65798256.086921,284.56
2022-03-01,2092,2084,6744,133673328.15327,67411838.543013,284.0
2022-03-02,2101,2088,8234,134394584.51352,69135584.882211,277.49
2022-03-03,2104,2088,8530,131842216.66863,67451301.015687,276.74
2022-03-04,2108,2084,10317,123845341.47009,65006450.525099,269.67
2022-03-05,2116,2092,9364,125727993.04116,65356592.04097,271.99
2022-03-06,2119,2094,8792,126406269.37242,65651283.701097,264.7
2022-03-07,2120,2099,9442,127059498.20322,65924511.751499,264.34
2022-03-08,2206,2181,9942,131526550.50491,69470425.137451,255.15
2022-03-09,2251,2225,8472,143921318.12494,75103983.878159,267.65
2022-03-10,2270,2249,10427,139449049.57814,72830405.634797,263.7
2022-03-11,2279,2254,10028,138847461.44408,72645895.503074,261.5
2022-03-12,2288,2265,8926,139410244.13365,73647857.956695,260.16
2022-03-13,2303,2277,8758,140315335.46322,74428895.17239,257.71
2022-03-14,2313,2284,8390,141533072.69038,74195615.458541,263.51
2022-03-15,2320,2285,8889,143835490.65263,76103062.351311,260.84
2022-03-16,2331,2296,9748,145506649.40255,76396885.262771,263.26
2022-03-17,2343,2308,9681,147719899.13908,79131059.504543,263.43
2022-03-18,2357,2320,10361,150859400.15511,81012707.236621,252.21
2022-03-19,2363,2324,9913,153094327.0446,81991665.082778,255.61
2022-03-20,2296,2334,9361,152697784.08846,81974505.880286,251.7
2022-03-21,2313,2352,9971,153418611.32749,82037785.652729,251.5
2022-03-22,2324,2355,9577,160853902.35309,84988336.701301,255.49
2022-03-23,2338,2369,9528,162643699.60074,85403284.316545,257.75
2022-03-24,2347,2375,8749,171540522.707,89740843.859089,260.14
2022-03-25,2358,2387,8875,174978540.14847,92111328.900076,259.45
2022-03-26,2366,2396,8953,178449649.76071,93906172.823687,260.48
2022-03-27,2371,2408,8551,186825880.6821,96424198.779644,265.1
2022-03-28,2396,2432,8996,193613418.72214,101409683.9419,263.85
2022-03-29,2418,2460,10366,191936943.39122,101892628.78658,254.92
2022-03-30,2430,2477,9558,193435240.51596,102051640.50704,255.89
2022-03-31,2441,2483,11026,182393242.03274,97583158.438012,258.61
2022-04-01,2448,2491,10049,191178262.48616,100515677.5259,255.31
2022-04-02,2456,2498,8894,193221330.56585,102389692.27246,255.05
2022-04-03,2466,2509,8694,199289095.51123,104648553.17671,257.94
2022-04-04,2479,2527,9550,201032260.48021,106980640.49625,252.62
2022-04-05,2494,2539,9348,199195780.71484,105395355.28267,249.78
2022-04-06,2500,2548,11000,189445641.99114,101471902.6128,246.21
2022-04-07,2514,2560,10646,192758690.89089,102918819.57307,244.23
2022-04-08,2533,2572,10028,192367382.61675,102906976.04385,244.9
2022-04-09,2539,2576,10089,195768413.46197,104216115.80877,246.04
2022-04-10,2541,2582,9115,199797508.30023,104091462.51326,263.52
2022-04-11,2561,2597,13769,187918578.2121,101543126.40453,244.63
2022-04-12,2573,2616,11713,189234110.90005,102378630.41532,242.18
2022-04-13,2582,2627,10611,197387134.27096,105774556.91632,255.58
2022-04-14,2595,2643,10049,193479352.65587,105113944.32275,237.1
2022-04-15,2612,2657,9760,196750790.31336,106888325.83893,238.13
2022-04-16,2615,2659,9952,196347183.92075,107119958.55606,237.95
2022-04-17,2617,2662,9868,195921942.50413,107796018.70544,244.46
2022-04-18,2623,2667,12167,198897998.12394,107979091.35544,241.04
2022-04-19,2631,2670,9784,202137116.86998,110749630.23968,238.38
2022-04-20,2644,2676,10163,200722467.73406,109978277.22232,244.88
2022-04-21,2650,2681,10167,189179249.36303,103839114.55996,236.12
2022-04-22,2660,2688,10785,185762863.71871,101813055.49698,233.89
2022-04-23,2667,2697,10174,187784601.70331,103215308.43064,235.17
2022-04-24,2656,2702,9599,185668072.088,102381680.32532,233.44
2022-04-25,2667,2712,11563,190444276.14604,104212193.86293,237.8
2022-04-26,2684,2722,10969,182082994.58799,99969241.889553,237.02
2022-04-27,2690,2726,10269,188785300.47155,104278364.65293,238.35
2022-04-28,2698,2726,9791,194353970.4675,106595637.2808,240.91
2022-04-29,2712,2741,11008,193837602.92887,106331421.42364,237.28
2022-04-30,2719,2750,9601,192524267.00994,106492819.90893,235.12
2022-05-01,2721,2760,10341,194447258.58316,106820001.24099,240.22
2022-05-02,2725,2762,9890,196935872.51395,108820068.01779,244.67
2022-05-03,2727,2766,10642,195731455.01611,108199291.12861,247.54
2022-05-04,2740,2774,9221,205630681.05492,112642087.94069,253.09
2022-05-05,2752,2785,10242,188977290.57777,104422172.19655,247.71
2022-05-06,2778,0,6665,142250.80119936,43609.88176424,326.0
2022-05-07,2797,2816,5777,188108713.77379,105232949.25456,242.29
2022-05-08,2810,2824,12530,182905780.75615,102263313.32137,240.07
2022-05-09,2823,2830,15852,166434081.52617,90934732.257705,255.68
2022-05-10,2834,2836,13017,162257628.69833,90336300.515432,240.64
2022-05-11,2850,2815,14808,130808679.81162,66235307.680721,278.9
2022-05-12,2855,2822,10825,118930039.17105,61537574.087895,280.04
2022-05-13,2867,2823,8798,124229897.73441,64710243.206648,273.29
2022-05-14,2871,2829,10743,121024195.4534,63348219.187079,266.24
2022-05-15,2856,2831,8559,125894468.21594,65056925.315625,266.62
2022-05-16,2864,2835,9258,120926168.50467,63648751.303896,262.22
2022-05-17,2866,2834,9670,120998120.82142,63846109.852327,259.11
2022-05-18,2868,2836,11048,112923348.53869,60799198.872778,250.14
2022-05-19,2872,2835,11359,109041513.43876,59622110.399186,252.73
2022-05-20,2874,2831,14898,101720404.41787,55387564.254766,245.18
2022-05-21,2878,2835,10889,99775965.151972,54919915.194918,246.25
2022-05-22,2867,2842,9761,102407485.40767,55664033.592028,255.49
2022-05-23,2874,2843,10170,100112001.40924,55255565.486764,245.06
2022-05-24,2877,2838,11651,98492351.701701,54321622.578376,255.73
2022-05-25,2881,2838,11346,100521381.76146,54835173.824553,250.52
2022-05-26,2886,2844,13956,98401938.665599,53320391.917789,256.18
2022-05-27,2892,2837,14733,92540872.254948,49817559.231537,261.76
2022-05-28,2893,2843,11842,91610441.321017,48858349.233098,261.74
2022-05-29,2889,2846,11345,89165354.603635,46431597.586525,270.54
2022-05-30,2897,2848,9257,92564026.375102,46875578.826557,266.81
2022-05-31,2899,2849,9639,92382540.781066,47177903.167766,262.46
2022-06-01,2900,2846,11939,88805861.923152,45500879.269083,253.84
2022-06-02,2901,2849,11189,88419321.268512,45475377.575833,264.79
2022-06-03,2901,2849,11160,86644669.12171,44578390.698471,255.71
2022-06-04,2901,2849,10737,86555664.066024,44544733.723461,255.58
2022-06-05,2902,2849,10526,86499257.570586,44476866.177348,254.78
2022-06-06,2902,2847,9565,88452263.081392,44648505.269071,261.59
2022-06-07,2906,2847,12023,87905806.829222,44650526.347762,271.06
2022-06-08,2907,2851,11027,86663589.2146,44761289.838602,254.5
2022-06-09,2909,2850,10531,85644393.741178,43953360.025098,256.65
2022-06-10,2916,1694,11192,83490998.103434,43236404.452463,264.29
2022-06-10,2916,1694,11188,83490998.103434,43236404.452463,264.29
2022-06-11,2918,1696,12121,77900360.191855,39144192.813567,276.17
2022-06-11,2918,1696,12123,77900360.191855,39144192.813567,276.17
2022-06-12,2915,1679,13862,71060490.11745,36184133.798427,279.28
2022-06-13,2920,1660,13525,62148655.104136,30236258.159826,314.41
2022-06-13,2920,1660,13529,62148655.104136,30236258.159826,314.41
2022-06-14,2924,1489,10532,54136996.532683,27682279.605022,276.82
2022-06-14,2924,1489,10534,54136996.532683,27682279.605022,276.82
2022-06-15,2927,1428,10754,48675899.63759,24221431.07845,305.12
2022-06-15,2927,1428,10752,48675899.63759,24221431.07845,305.12
2022-06-16,2934,1421,9081,47622806.158055,23918505.632756,305.2
2022-06-16,2934,1421,9080,47622806.158055,23918505.632756,305.2
2022-06-17,2941,1422,4790,46729788.572837,23645466.985718,305.76
2022-06-18,2942,1386,9842,43477980.870813,21963420.105847,297.83
2022-06-18,2942,1386,9837,43477980.870813,21963420.105847,297.83
2022-06-19,2936,1380,7445,44787714.883305,22783739.22296,320.52
2022-06-20,2943,1378,6975,43865630.197618,22448627.252593,311.77
2022-06-21,2944,1367,7593,43425737.074323,22560652.443705,308.88
2022-06-22,2949,1376,8358,42323644.107173,22297088.431479,294.13
2022-06-23,2950,1371,7663,42568437.578543,22488391.608447,298.34
2022-06-24,2951,1366,8079,43065612.165997,22825980.07851,302.13
2022-06-25,2954,1367,7477,43234566.634229,22830572.37914,299.57
2022-06-26,2953,1364,7164,43093464.619496,22905613.071765,295.62
2022-06-27,2955,1366,7691,42853221.960469,22710624.050866,295.81
2022-06-28,2956,1371,7493,42458829.874642,22086822.410622,301.6
2022-06-29,2959,1366,7953,42145748.955743,22155652.465542,294.68
2022-06-30,2959,1357,9068,41353132.033647,22024198.270133,291.72
2022-07-01,2962,1349,7836,40978009.01832,21998508.959291,303.69
2022-07-02,2965,1331,8518,39649554.372871,21047130.341749,307.25
2022-07-03,2961,1319,8368,39398899.251045,20963352.396939,310.39
2022-07-04,2966,1310,7074,38142154.441358,19954549.756056,311.24
2022-07-05,2967,1306,7118,37587800.338143,19518958.311219,320.5
2022-07-06,2970,1330,7206,39646959.852888,20864752.24451,292.35
2022-07-07,2974,1343,7149,39969745.696598,20935986.556353,296.74
2022-07-08,2978,1362,6442,39943778.75878,20965768.672288,300.49
2022-07-09,2980,1362,6281,39813310.75241,21073831.067811,304.43
2022-07-10,2977,1365,6825,39151395.675321,20861062.764162,299.35
2022-07-11,2979,1368,7400,38861777.338355,20684891.816723,295.19
2022-07-12,2982,1369,7692,38061912.698543,20379483.016072,294.65
2022-07-13,2983,1364,7347,37033666.300151,19593712.794436,302.82
