,otherDFI,mnDFI,lmDFI,tokenDFI,erc20DFI,fundDFI,foundationDFI,burnedDFI,circDFI,totalDFI
2020-04-26,,,,,,,,,,
2020-05-11,,,,,,,,,,
2020-05-12,,,,,,,,,,
2020-05-13,,,,,,,,,,
2020-05-14,,,,,,,,,,
2020-05-15,,,,,,,,,,
2020-05-16,,,,,,,,,,
2020-05-17,,,,,,,,,,
2020-05-18,,,,,,,,,,
2020-05-19,,,,,,,,,,
2020-05-20,,,,,,,,,,
2020-05-21,,,,,,,,,,
2020-05-22,,,,,,,,,,
2020-05-23,,,,,,,,,,
2020-05-24,,,,,,,,,,
2020-05-25,,,,,,,,,,
2020-05-26,,,,,,,,,,
2020-05-27,,,,,,,,,,
2020-05-28,,,,,,,,,,
2020-05-29,,,,,,,,,,
2020-05-30,,,,,,,,,,
2020-05-31,,,,,,,,,,
2020-06-01,,,,,,,,,,
2020-06-02,,,,,,,,,,
2020-06-03,,,,,,,,,,
2020-06-04,,,,,,,,,,
2020-06-05,,,,,,,,,,
2020-06-06,,,,,,,,,,
2020-06-07,,,,,,,,,,
2020-06-08,,,,,,,,,,
2020-06-09,,,,,,,,,,
2020-06-10,,,,,,,,,,
2020-06-11,,,,,,,,,,
2020-06-12,,,,,,,,,,
2020-06-13,,,,,,,,,,
2020-06-14,,,,,,,,,,
2020-06-15,,,,,,,,,,
2020-06-16,,,,,,,,,,
2020-06-17,,,,,,,,,,
2020-06-18,,,,,,,,,,
2020-06-19,,,,,,,,,,
2020-06-20,,,,,,,,,,
2020-06-21,,,,,,,,,,
2020-06-22,,,,,,,,,,
2020-06-23,,,,,,,,,,
2020-06-24,,,,,,,,,,
2020-06-25,,,,,,,,,,
2020-06-26,,,,,,,,,,
2020-06-27,,,,,,,,,,
2020-06-28,,,,,,,,,,
2020-06-29,,,,,,,,,,
2020-06-30,,,,,,,,,,
2020-07-01,,,,,,,,,,
2020-07-02,,,,,,,,,,
2020-07-03,,,,,,,,,,
2020-07-04,,,,,,,,,,
2020-07-05,,,,,,,,,,
2020-07-06,,,,,,,,,,
2020-07-07,,,,,,,,,,
2020-07-08,,,,,,,,,,
2020-07-09,,,,,,,,,,
2020-07-10,,,,,,,,,,
2020-07-11,,,,,,,,,,
2020-07-12,,,,,,,,,,
2020-07-13,,,,,,,,,,
2020-07-14,,,,,,,,,,
2020-07-15,,,,,,,,,,
2020-07-16,,,,,,,,,,
2020-07-17,,,,,,,,,,
2020-07-18,,,,,,,,,,
2020-07-19,,,,,,,,,,
2020-07-20,,,,,,,,,,
2020-07-21,,,,,,,,,,
2020-07-22,,,,,,,,,,
2020-07-23,,,,,,,,,,
2020-07-24,,,,,,,,,,
2020-07-25,,,,,,,,,,
2020-07-26,,,,,,,,,,
2020-07-27,,,,,,,,,,
2020-07-28,,,,,,,,,,
2020-07-29,12908556.389225168,608173055.3974421,,,,3348809.0933328,,,621081611.7866672,624430420.88
2020-07-30,12908737.564791769,608563655.3978322,,,,3358849.09337612,,,621472392.962624,624831242.0560001
2020-07-31,12908737.56438761,609069680.3981959,,,,3371824.09341652,,,621978417.9625834,625350242.056
2020-08-01,12910687.56357123,609515060.398846,,,,3383294.0935827005,,,622425747.9624172,625809042.056
2020-08-02,13042057.559923347,609842720.4019599,,,,3395059.09411674,,,622884777.9618832,626279837.0559999
2020-08-03,13268647.559775967,610075745.4020847,,,,3406844.09413934,,,623344392.9618607,626751237.056
2020-08-04,13511962.55994241,610283660.4015095,,,,3418449.09454802,,,623795622.9614519,627214072.0559999
2020-08-05,13599502.559492448,610628045.4018892,,,,3429494.09461836,,,624227547.9613817,627657042.056
2020-08-06,13615597.556429612,611051675.4045808,,,,3440769.09498956,,,624667272.9610105,628108042.056
2020-08-07,13665397.54499107,611442965.4147037,,,,3452074.09630524,,,625108362.9596947,628560437.056
2020-08-08,33460042.81838393,303978185.12489355,,,,3463614.11272251,288120000.0,,337438227.9432775,629021842.056
2020-08-09,33833857.817537576,304055990.1253015,,,,3475194.11316089,288120000.0,,337889847.942839,629485042.056
2020-08-10,34200262.81609441,304151540.1263238,,,,3487039.11358172,288120000.0,,338351802.9424182,629958842.056
2020-08-11,34577587.81503778,304230125.12702966,,,,3498729.11393255,288120000.0,,338807712.94206744,630426442.056
2020-08-12,34935997.81431508,304321580.12739897,,,,3510264.11428598,288120000.0,,339257577.94171405,630887842.056
2020-08-13,35309227.81293605,304398410.12833536,,,,3521804.11472861,288120000.0,,339707637.9412714,631349442.056
2020-08-14,35692402.81157342,304476995.12921536,,,,3533644.1152112,288120000.0,,340169397.9407888,631823042.056
2020-08-15,35692402.81157342,304476995.12921536,,,,3533644.1152112,288120000.0,,340169397.9407888,631823042.056
2020-08-16,35692402.81157342,304476995.12921536,,,,3533644.1152112,288120000.0,,340169397.9407888,631823042.056
2020-08-17,36999870.75106988,304789580.1322,,,,3575184.11673008,288120000.0,,341789450.8832699,633484635.0
2020-08-18,37138710.75086185,304815710.1322763,,,,3579414.11686187,288120000.0,,341954420.8831382,633653835.0
2020-08-19,37496145.73279529,304900535.1332841,,,,3590754.13392064,288120000.0,,342396680.8660794,634107435.0
2020-08-20,37865865.73124418,304983410.1343845,,,,3602359.13437127,288120000.0,,342849275.8656287,634571635.0
2020-08-21,38226420.73014375,305072330.13502115,,,,3613884.13483507,288120000.0,,343298750.8651649,635032635.0
2020-08-22,38590680.72895505,305158325.1357423,,,,3625429.13530267,288120000.0,,343749005.86469734,635494435.0
2020-08-23,38978730.72778549,305233985.1364291,,,,3637319.13578545,288120000.0,,344212715.86421454,635970035.0
2020-08-24,39336360.72681027,305319395.13705933,,,,3648684.13613035,288120000.0,,344655755.8638696,636424440.0
2020-08-25,39701985.72584634,305400320.1376288,,,,3660129.13652482,288120000.0,,345102305.86347514,636882435.0
2020-08-26,40067760.73531632,305488265.13789433,,,,3671609.12678935,288120000.0,,345556025.87321067,637347635.0
2020-08-27,40425390.73435538,305576795.1384733,,,,3683049.12717132,288120000.0,,346002185.87282866,637805235.0
2020-08-28,40795110.73373124,305670005.1387075,,,,3694919.12756119,288120000.0,,346465115.8724388,638280035.0
2020-08-29,41160150.7327163,305756975.1393524,,,,3706509.1279313,288120000.0,,346917125.8720687,638743635.0
2020-08-30,41530650.73185588,305833025.1397785,,,,3717959.12836562,288120000.0,,347363675.87163436,639201635.0
2020-08-31,41891205.73039521,305916875.1408141,,,,3729354.12879063,288120000.0,,347808080.8712093,639657435.0
2020-09-01,42250980.7286043,306005405.14213544,,,,3740849.12926024,288120000.0,,348256385.87073976,640117235.0
2020-09-02,42603150.72675593,306094325.1434961,,,,3752159.12974797,288120000.0,,348697475.870252,640569635.0
2020-09-03,42969750.72574531,306177200.1441021,,,,3763684.13015256,288120000.0,,349146950.8698474,641030635.0
2020-09-04,43333620.72455408,306266705.1449676,,,,3775309.13047838,288120000.0,,349600325.8695217,641495635.0
2020-09-05,43697295.72213745,306345290.1468448,,,,3786649.13101775,288120000.0,,350042585.86898226,641949235.0
2020-09-06,44054145.72064094,306432455.1478902,,,,3798034.13146882,288120000.0,,350486600.86853117,642404635.0
2020-09-07,44431470.71960967,306506555.14859325,,,,3809609.13179705,288120000.0,,350938025.8682029,642867635.0
2020-09-08,44797095.718408,306589625.1492147,,,,3821114.13237728,288120000.0,,351386720.8676227,643327835.0
2020-09-09,45151410.71713464,306681860.1499262,,,,3832564.13293914,288120000.0,,351833270.86706084,643785835.0
2020-09-10,45526395.716283366,306752060.1504706,,,,3843979.13334603,288119999.9999,,352278455.866754,644242435.0
2020-09-11,45948845.71464853,306833960.1514057,,,,3855629.13414574,288069999.9998,,352782805.86605424,644708435.0
2020-09-12,48798761.16881661,306916835.1841234,,,,3867094.15458998,285584344.49247,,355715596.35294,645167035.0
2020-09-13,49168871.16672705,307007510.1855698,,,,3878909.15523312,285584344.49247,,356176381.3522969,645639635.0
2020-09-14,49537421.165127344,307082975.1866602,,,,3890294.15574246,285584344.49247,,356620396.3517875,646095035.0
2020-09-15,49903241.16298274,307161560.1880505,,,,3901689.15649676,285584344.49247,,357064801.3510333,646550835.0
2020-09-16,49262616.15958013,308242485.19081026,,,,3912979.15713963,285584344.49247,,357505101.3503904,647002425.0
2020-09-17,49615176.15802043,308333550.1917558,,,,3924354.15775384,285584344.49247,,357948726.3497762,647457425.0
2020-09-18,49986836.15711071,308415840.1921528,,,,3935994.15826649,285584344.49247,,358402676.3492635,647923015.0
2020-09-19,50353046.15549543,308502030.1932218,,,,3947594.15881274,285584344.49247,,358855076.3487172,648387015.0
2020-09-20,50737196.15466423,308584320.1937217,,,,3959554.15914405,285584344.49247,,359321516.34838593,648865415.0
2020-09-21,51108866.15311287,308668365.1948149,,,,3971239.15960223,285584344.49247,,359777231.3479278,649332815.0
2020-09-22,51478586.15188363,308755725.195556,,,,3982959.16009042,285584344.49247,,360234311.34743965,649801615.0000001
2020-09-23,51899201.15027504,308849325.1965448,,,,3996144.16071023,285584344.49247,,360748526.3468199,650329015.0000001
2020-09-24,52195796.14905535,308922255.19739544,,,,4005619.16107922,285584344.49247,,361118051.3464508,650708015.0
2020-09-25,52558301.14680398,309007665.19901764,,,,4017104.16170841,285584344.49247,,361565966.3458216,651167415.0
2020-09-26,52928216.14565769,309090735.19963133,,,,4028719.16224098,285584344.49247,,362018951.345289,651632015.0
2020-09-27,53303201.14499341,309170880.19989765,,,,4040389.162639,285584344.49247,,362474081.3448911,652098815.0000001
2020-09-28,53648936.144298494,309260580.20024174,,,,4051554.1629898,285584344.49247,,362909516.34454024,652545415.0
2020-09-29,54019241.14232138,309345210.20172536,,,,4063219.1634833,285584344.49247,,363364451.3440467,653012015.0
2020-09-30,54394031.142156914,309438615.2013972,,,,4075224.16397589,285584344.49247,,363832646.3435541,653492215.0
2020-10-01,54761606.14094457,309521490.2021184,,,,4086774.16446704,285584344.49247,,364283096.343063,653954215.0
2020-10-02,55130156.13866737,309615675.203062,,,,4098639.16580063,285584344.49247,,364745831.34172934,654428815.0
2020-10-03,55498511.13746626,309702840.2037047,,,,4110069.16628337,285584344.49247,,365201351.34117097,654895764.9999244
2020-10-04,55862381.13595605,309780255.20484203,,,,4121634.16673195,285584344.49247,,365642636.3407981,655348615.0
2020-10-05,56229761.13520282,309857085.2052861,,,,4133024.1670411,285584344.49247,,366086846.3404889,655804215.0
2020-10-06,56598896.13341893,309936840.2066262,,,,4144534.16748491,285584344.49247,,366535736.3400451,656264615.0
2020-10-07,56960816.13168806,310019715.2079063,,,,4155939.16793565,285584344.49247,,366980531.33959436,656720815.0
2020-10-08,57410486.10714444,310124630.2141438,,,,4170154.18624176,285584344.49247,,367535116.3212882,657289615.0
2020-10-09,57791285.465371,310199340.1791122,,,,4181644.86304682,285584344.49247,,367990625.6444832,657756615.0
2020-10-10,58153399.73056426,310285530.1681931,,,,4193140.60877262,285584344.49247,,368438929.89875734,658216415.0
2020-10-11,58739763.56215148,310428085.1651176,,,,4211821.78026095,285584344.49247,,369167848.7272691,658964015.0000001
2020-10-12,59130296.261579886,310549895.20647347,,,,4233048.52545888,285584344.49247,,369680191.46805334,659497584.4859822
2020-10-13,59395976.54214319,310857425.2106771,,,,4278380.72545888,285584344.49247,,370253401.75282025,660116126.9707491
2020-10-14,59802359.52138642,311176565.2151438,,,,4325424.32545888,285584344.49247,,370978924.73653024,660888693.5544591
2020-10-15,60171190.17785688,311432930.2196802,,,,4363214.42545888,285584344.49247,,371604120.39753705,661551679.3154659
2020-10-16,60393058.49020481,311535530.221341,,,,4378338.42545888,285584344.49247,,371928588.7115458,661891271.6294748
2020-10-17,60808860.34875248,311850890.329648,,,,4424824.82545888,285584344.49247,,372659750.6784005,662668919.9963294
2020-10-18,61195795.73770055,312157745.4041332,,,,4470057.52545888,285584344.49247,,373353541.1418338,663407943.1597626
2020-10-19,61490546.984680064,312476210.4244528,,,,4517001.62545888,285584344.49247,,373966757.40913284,664068103.5270617
2020-10-20,61775891.48009412,312788060.45845795,,,,4562970.62545888,285584344.49247,,374563951.9385521,664711267.056481
2020-10-21,62363840.33386889,313113005.51318765,,,,4610869.92545888,285584344.49247,,375476845.8470565,665672060.2649854
2020-10-22,62675037.28924979,313433090.569335,,,,4658052.82545888,285584344.49247,,376108127.85858476,666350525.1765137
2020-10-23,61679242.896669164,311096375.28540194,,,,4703126.32545888,285584344.49247,,372775618.1820711,663063089.0
2020-10-24,61929532.88716277,311154155.2949084,,,,4748538.12545888,285584344.49247,,373083688.18207115,663416570.8000001
2020-10-25,62182522.869904034,311214365.31216705,,,,4794706.12545888,285584344.49247,,373396888.1820711,663775938.8
2020-10-26,62442127.86075048,311277950.32132065,,,,4842346.72545888,285584344.49247,,373720078.18207115,664146769.4000001
2020-10-27,62703217.85138545,311327900.3306856,,,,4888196.32545888,285584344.49247,,374031118.1820711,664503659.0
2020-10-28,62955667.85043417,311386625.3316369,,,,4934065.82545888,285584344.49247,,374342293.1820711,664860703.5
2020-10-29,63209062.84946423,311446160.3326069,,,,4980194.02545888,285584344.49247,,374655223.18207115,665219761.7
2020-10-30,63462322.848114334,311505020.33395684,,,,5026202.82545888,285584344.49247,,374967343.18207115,665577890.5
2020-10-31,63759592.8486127,311508935.3334584,,,,5070599.72545888,285584344.49247,,375268528.18207115,665923472.4000001
2020-11-01,64003402.82673157,311574005.3553395,,,,5116130.92545888,285584344.49247,,375577408.1820711,666277883.6
2020-11-02,64263952.75799695,311629220.4240742,,,,5162677.02545888,285584344.49247,,375893173.1820711,666640194.7
2020-11-03,64516402.74792025,311686595.4341508,,,,5208347.52545888,285584344.49247,,376202998.1820711,666995690.2
2020-11-04,64755217.746945545,311747615.4351256,,,,5252545.42545888,285584344.49247,,376502833.18207115,667339723.1000001
2020-11-05,65020967.73703124,311802830.44503987,,,,5299887.52545888,285584344.49247,,376823798.1820711,667708030.2
2020-11-06,65266637.69119172,311863985.4908794,,,,5345160.02545888,285584344.49247,,377130623.18207115,668060127.7
2020-11-07,65519227.61584652,311920955.5662246,,,,5390850.42545888,285584344.49247,,377440183.1820711,668415378.1
2020-11-08,65839987.57589995,312001550.60617113,,,,5450013.12545888,285584344.49247,,377841538.1820711,668875895.8
2020-11-09,66147822.56615627,312069320.6159148,,,,5505394.82545888,285584344.49247,,378217143.1820711,669306882.5
2020-11-10,66270302.5567402,312100775.6253309,,,,5528100.72545888,285584344.49247,,378371078.18207115,669483523.4000001
2020-11-11,66529957.54730222,312152210.63486886,,,,5573800.32535888,285584344.49247,,378682168.1821711,669840313.0
2020-11-12,66810927.54703032,312180830.6351408,,,,5619450.92535888,285584344.49247,,378991758.1821711,670195553.6
2020-11-13,67070937.51626367,312229430.66590744,,,,5664942.32535888,285584344.49247,,379300368.1821711,670549655.0
2020-11-14,67325412.49254856,312283430.6896225,,,,5710413.82535888,285584344.49247,,379608843.1821711,670903601.5
2020-11-15,67579887.49161263,312343235.6905585,,,,5756760.92535888,285584344.49247,,379923123.1821711,671264228.6
2020-11-16,67833687.49024792,312401150.69192314,,,,5802690.12535888,285584344.49247,,380234838.18217105,671621872.8
2020-11-17,68086982.46419403,312461360.7179771,,,,5848917.82535888,285584344.49247,,380548343.1821711,671981605.5
2020-11-18,68340112.46311332,312522245.7190578,,,,5895264.92535888,285584344.49247,,380862358.1821711,672341967.6
2020-11-19,68589727.45372945,312580160.72844166,,,,5940597.12535888,285584344.49247,,381169888.1821711,672694829.8
2020-11-20,68843057.43640414,312642260.745767,,,,5987123.32535888,285584344.49247,,381485318.1821711,673056786.0
2020-11-21,69090647.42693865,312699365.75523245,,,,6032057.52535888,285584344.49247,,381790013.1821711,673406415.2
2020-11-22,69349442.42644075,312762815.75575113,,,,6078504.12535888,285584344.49247,,382112258.18219185,673775106.8000207
2020-11-23,69595682.39947891,312822350.7826922,,,,6124612.42535888,285584344.49247,,382418033.1821711,674126990.1
2020-11-24,69841652.39764816,312885800.7845229,,,,6170223.22535888,285584344.49247,,382727453.18217105,674482020.9
2020-11-25,70103417.3880657,312939125.7941054,,,,6216669.82535888,285584344.49247,,383042543.1821711,674843557.5
2020-11-26,70357217.36085288,312999200.82131827,,,,6262977.12535888,285584344.49247,,383356418.18217117,675203739.8000001
2020-11-27,70357217.36085288,312999200.82131827,,,,6262977.12535888,285584344.49247,,383356418.18217117,675203739.8000001
2020-11-28,70856957.33259259,313122050.8495785,,,,6354755.92535888,285584344.49247,,383979008.1821711,675918108.6
2020-11-29,71116697.3234485,313178210.8587226,,,,6401361.72535888,285584344.49247,,384294908.1821711,676280614.4000001
2020-11-30,71116697.3234485,313178210.8587226,,,,6401361.72535888,285584344.49247,,384294908.1821711,676280614.4000001
2020-12-01,71116697.3234485,313178210.8587226,,,,6401361.72535888,285584344.49247,,384294908.1821711,676280614.4000001
2020-12-02,71116697.3234485,313178210.8587226,,,,6401361.72535888,285584344.49247,,384294908.1821711,676280614.4000001
2020-12-03,67401336.3495684,313841331.5766419,,,,6560880.12535888,285584344.49247,,381242667.9262103,673387892.5440392
2020-12-04,67309519.44571713,314303032.6603606,,,,6629216.72535888,285584344.49247,,381612552.1060777,673826113.3239067
2020-12-05,67148764.13297537,314606783.19600666,,,,6674150.92535888,285584344.49247,,381755547.328982,674014042.7468109
2020-12-06,67080705.28225628,314919038.737874,,,,6720259.22535888,285584344.49247,,381999744.0201303,674304347.7379591
2020-12-07,65806109.55394597,315237504.2158339,,,,6767282.92535888,285584344.49247,,381043613.76977986,673395241.1876087
2020-12-08,67389452.10193512,313688106.64731205,,,,6812754.42535888,285584344.49247,,381077558.7492472,673474657.6670761
2020-12-09,67217152.33869751,313761816.7730411,,,,6858922.42535888,285584344.49247,,380978969.1117386,673422236.0295675
2020-12-10,63527472.262322254,313809067.1678395,,,,6899219.92535888,285584344.49247,,377336539.4301618,669820103.8479908
2020-12-11,63733706.48585179,313849432.30264926,,,,6937368.22535888,285584344.49247,,377583138.788501,670104851.50633
2020-12-12,63668875.9316048,313847677.31987685,8725779.70450546,,,6982083.52535888,285584344.49247,,386242332.9559871,678808760.9738159
2020-12-13,63860323.05880164,313852537.31953025,8788654.092305541,,,7027833.62535888,285584344.49247,,386501514.47063744,679113692.5884664
2020-12-14,64081243.18309041,313852537.2894045,9482387.35584911,,,7073723.02535888,285584344.49247,,387416167.828344,680074235.3461728
2020-12-15,64413143.55125068,313848217.29654145,9559086.143960891,,,7119572.62535888,285584344.49247,,387820446.99175304,680524364.109582
2020-12-16,64192688.1865523,313851187.3505789,10437913.84125318,,,7165581.42535888,285584344.49247,,388481789.37838435,681231715.2962133
2020-12-17,64180920.11590845,313891823.08892584,11713666.3664682,,,7212764.32535888,285584344.49247,,389786409.5713025,682583518.3891313
2020-12-18,63957964.18324498,313948118.9457916,12433727.84226699,,,7258454.72535888,285584344.49247,,390339810.9713036,683182610.1891325
2020-12-19,61834550.87075858,314010219.7286124,13715565.436561448,,,7304881.42535888,285584344.49247,,389560336.0359325,682449561.9537613
2020-12-20,61871089.5306444,314066110.03876,14113437.47490976,,,7350472.32535888,285584344.49247,,390050637.0443142,682985453.862143
2020-12-21,62058312.06107932,314126185.3709184,14302185.07267056,,,7396640.32535888,285584344.49247,,390486682.5046683,683467667.3224971
2020-12-22,62020126.49088624,314191795.97995985,15358207.63785921,,,7442529.72535888,285584344.49247,,391570130.1087053,684597004.3265343
2020-12-23,62342432.65280876,314251736.4908252,15441058.41926568,,,7487822.12535888,285584344.49247,,392035227.56289965,685107394.1807286
2020-12-24,62630004.3904829,314308842.14339006,15670598.30548854,,,7532517.52635888,285584344.49346995,,392609444.8393615,685726306.8591903
2020-12-25,62924820.556559294,314363517.5428729,15657798.34115149,,,7579003.92635888,285584344.49346995,,392946136.4405837,686109484.8604126
2020-12-26,63852175.25066967,314424133.7301947,15399415.440993479,,,7623201.82635888,285584344.49346995,,393675724.42185783,686883270.7416866
2020-12-27,63852175.25066967,314424133.7301947,14963713.63998998,,,7623201.82635888,285584344.49346995,,393675724.42185783,686883270.7416866
2020-12-28,65673465.44837638,314536724.8238734,14396850.299310029,,,7715557.72635888,285584344.49346995,,394607040.5715598,687906942.7913886
2020-12-29,65899872.60541957,314595180.60572153,14586859.04686107,,,7762442.12635888,285584344.49346995,,395081912.25800216,688428698.877831
2020-12-30,65869219.507895455,314650801.28036773,15024106.02461664,,,7806918.62635888,285584344.49346995,,395544126.81287986,688935389.9327087
2020-12-31,66007190.91062553,314702236.9044255,15257583.67689271,,,7852947.32635888,285584344.49346995,,395967011.4919437,689404303.3117726
2021-01-01,66261387.44290012,314762312.41698015,15505670.3006397,,,7897244.72635888,285584344.49346995,,396529370.16051996,690010959.3803488
2021-01-02,66460193.16475059,314815772.7534907,15727490.79741141,,,7942616.72635888,285584344.49346995,,397003456.71565264,690530417.9354815
2021-01-03,66635779.50604847,314872743.201457,16091626.88534436,,,7989202.62635888,285584344.49346995,,397600149.59284985,691173696.7126787
2021-01-04,66867237.55793483,314925933.65406346,16412711.36954604,,,8035569.62635888,285584344.49346995,,398205882.58154434,691825796.7013731
2021-01-05,67279502.39169392,314980879.2165985,16413404.781025618,3092292.53713601,,8082115.72635888,285584344.49346995,,401766078.92645407,695432539.1462829
2021-01-06,67700412.3942372,315042574.80454195,16747192.433566041,2831598.18980312,,8127666.82635888,285584344.49346995,,402321777.8221483,696033789.1419771
2021-01-07,67962527.16595826,315103055.308922,16890850.299647048,2903061.93634272,,8173814.92635888,285584344.49346995,,402859494.71086997,696617654.1306988
2021-01-08,68159266.60305461,315162725.8957989,17240254.0599701,2840483.90245631,,8220002.82635888,285584344.49346995,,403402730.4612799,697207077.7811087
2021-01-09,68519827.41521707,315249937.3616159,17503627.91501377,2661998.7280456102,,8265136.02635888,285584344.49346995,,403935391.4198923,697784871.9397211
2021-01-10,68970806.0110588,315294488.0188001,17576702.341364842,2621202.19530022,,8310906.02635888,285584344.49346995,,404463198.56652397,698358449.0863528
2021-01-11,69227559.75262769,315352808.9621192,17809052.68088105,2668210.7115327497,,8356775.52635888,285584344.49346995,,405057632.1071607,698998752.1269896
2021-01-12,69613751.32880685,315411129.904016,17908376.85256181,2627182.8197124694,,8401888.82635888,285584344.49346995,,405560440.9050972,699546674.224926
2021-01-13,70145265.960429,315464320.6648025,17931179.96485864,2556091.0181218195,,8448036.92635888,285584344.49346995,,406096857.608212,700129239.0280409
2021-01-14,70721095.49204464,315517106.5948682,17793232.58730093,2624711.1227561603,,8494423.82635888,285584344.49346995,,406656145.79696995,700734914.1167988
2021-01-15,71385628.8147579,315494426.8482339,17704670.34275323,2619866.09759538,,8541029.62635888,285584344.49346995,,407204592.1033404,701329966.2231692
2021-01-16,71765921.85364704,315546807.62171507,17921572.10263497,2509684.99620315,,8576012.79608917,285584344.49346995,,407743986.5742002,701904343.8637593
2021-01-17,72216561.09188336,315604858.1303868,17976986.258419782,2492964.5787022505,,8622917.09608917,285584344.49346995,,408291370.0593922,702498631.6489513
2021-01-18,72497757.20827702,315663178.55832505,18389540.04211999,2301065.83578586,,8670000.49608917,285584344.49346995,,408851541.6445079,703105886.634067
2021-01-19,72781777.78452286,315717854.1501762,18569090.09181456,2325271.26376215,,8716367.49608917,285584344.49346995,,409393993.2902758,703694705.279835
2021-01-20,73080564.02303095,315773474.518085,18944737.82895073,2101589.01040947,,8761679.79608917,285584344.49346995,,409900365.3804761,704246389.6700352
2021-01-21,73434315.16627519,315827879.9104451,18965864.05072272,2123018.1280798805,,8806872.69608917,285584344.49346995,,410351077.2555229,704742294.445082
2021-01-22,73720298.39707872,315888765.43385834,19152208.65618273,2247713.5583176697,,8852244.69608917,285584344.49346995,,411008986.0454374,705445575.2349966
2021-01-23,73924913.29441738,315943035.72790915,19313488.111484338,2370514.4435242303,,8898651.49608917,285584344.49346995,,411551951.5773351,706034947.5668943
2021-01-24,73989886.98843724,316006351.2225493,19489255.30052444,2488229.656517571,,8945356.79608917,285584344.49346995,,411973723.16802853,706503424.4575877
2021-01-25,74188506.52995758,316061701.7624677,19874565.0166271,2507238.234872709,,8990828.29608917,285584344.49346995,,412632011.54392505,707207184.3334842
2021-01-26,78495884.34546451,316241659.0693488,20032688.716968838,10220380.21199549,,9036538.59608917,273714000.0009,,424990612.34377766,707741150.9407668
2021-01-27,78571020.94062959,316545277.14476275,20287908.91564112,9991367.989408908,,9081393.19608917,273714000.0009,,425395574.9904424,708190968.1874316
2021-01-28,74368489.1554813,316858345.70538294,20475789.71764668,14113926.85311425,,9127700.49608917,273714000.0009,,425816551.4316251,708658251.9286143
